PULSAR CAND_NO SNR F0 CAND_F0 DM CAND_DM
Ter5C 58 159.698150634766 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5C 160 81.4603042602539 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5C 188 72.2491989135742 118.53825602162425 118.54856872558597 237.058835 236.403945922852
Ter5C 272 58.2747230529785 118.53825602162425 118.54859161376955 237.058835 237.344543457031
Ter5C 346 53.4430465698242 118.53825602162425 118.54861450195312 237.058835 235.935043334961
Ter5C 425 50.613956451416 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5C 637 45.7248115539551 118.53825602162425 118.54861450195312 237.058835 237.344543457031
Ter5I 1202 37.8655471801758 104.49109414246252 104.5042343139648 238.57384 238.762451171875
Ter5I 1204 37.8473205566406 104.49109414246252 104.5042343139648 238.57384 238.762451171875
Ter5C 1255 37.3429946899414 118.53825602162425 118.54861450195312 237.058835 236.873779296875
Ter5C 1435 35.4948120117188 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5C 1449 35.352840423584 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5C 1528 34.5854911804199 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5R 2203 30.0315818786621 198.86473201005708 198.88203430175776 237.395701 237.344543457031
Ter5A 2250 29.7409343719482 86.48163690602267 86.48973083496112 242.342 243.067047119141
Ter5E 2408 28.9180641174316 455.00044784254186 455.0332946777352 236.670923 236.403945922852
Ter5C 2640 27.8527145385742 118.53825602162425 118.54856872558597 237.058835 236.403945922852
Ter5A 2842 26.9106044769287 86.48163690602267 86.49864196777361 242.342 242.5849609375
Ter5A 3004 26.2632808685303 86.48163690602267 86.4989089965821 242.342 242.10383605957
Ter5I 3202 25.4511070251465 104.49109414246252 104.50424957275393 238.57384 238.288879394531
Ter5C 3228 25.3574542999268 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5L 3266 25.2002029418945 445.49372347897673 445.53250122070403 237.553066 237.344543457031
Ter5aj 3519 24.252628326416 337.96234358564925 338.0179443359377 238.623548 239.236953735352
Ter5A 3641 23.7649345397949 86.48163690602267 86.50511169433621 242.342 242.5849609375
Ter5A 3659 23.7141056060791 86.48163690602267 86.49828338623018 242.342 241.623657226562
Ter5aj 3680 23.6573925018311 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5A 3847 23.1392402648926 86.48163690602267 86.49846649169933 242.342 241.144424438477
Ter5A 3913 22.9449100494385 86.48163690602267 86.49839019775385 242.342 242.10383605957
Ter5C 3946 22.8608112335205 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5aj 4029 22.6504783630371 337.96234358564925 338.0179443359377 238.623548 238.288879394531
Ter5U 4037 22.6222438812256 304.03006649108977 304.038543701172 235.469347 235.467056274414
Ter5aj 4250 22.0495185852051 337.96234358564925 338.0179443359377 238.623548 237.81623840332
Ter5A 4272 21.9966773986816 86.48163690602267 86.4989089965821 242.342 242.10383605957
Ter5C 4440 21.6173439025879 118.53825602162425 118.54861450195312 237.058835 236.873779296875
Ter5aj 4468 21.5402507781982 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5aj 4537 21.3279323577881 337.96234358564925 338.0179443359377 238.623548 238.762451171875
Ter5U 4562 21.2711334228516 304.03006649108977 304.038543701172 235.469347 235.467056274414
Ter5A 4579 21.2222232818604 86.48163690602267 86.5086593627929 242.342 243.550079345703
Ter5A 4712 20.8429870605469 86.48163690602267 86.49893951416021 242.342 242.5849609375
Ter5A 4743 20.7627296447754 86.48163690602267 86.49873352050783 242.342 241.623657226562
Ter5aj 4777 20.7053413391113 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5aj 4794 20.6796855926514 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5aj 4844 20.5308837890625 337.96234358564925 338.0179443359377 238.623548 238.288879394531
Ter5aj 4911 20.405122756958 337.96234358564925 338.0179443359377 238.623548 238.288879394531
Ter5A 4932 20.3615894317627 86.48163690602267 86.498321533203 242.342 242.10383605957
Ter5aj 4964 20.292516708374 337.96234358564925 338.0179443359377 238.623548 239.236953735352
Ter5aj 5143 19.925422668457 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5aj 5180 19.8435935974121 337.96234358564925 338.0179443359377 238.623548 238.288879394531
Ter5A 5339 19.4970550537109 86.48163690602267 86.49887847900384 242.342 241.144424438477
Ter5aj 5425 19.3590564727783 337.96234358564925 338.0179443359377 238.623548 239.236953735352
